MATCH_ID,GAME_DURATION,GAME_DATE,WINNING_TEAM,AVERAGE_RANK,BLUE_KILLS,RED_KILLS,BLUE_TOWERS,RED_TOWERS,BLUE_DRAGONS,RED_DRAGONS,BLUE_VOID_GRUBS,RED_VOID_GRUBS,BLUE_HERALDS,RED_HERALDS,BLUE_BARONS,RED_BARONS,WINNING_GOLD_DIFF,UNLOGGED_DURATION
EUN1_3900162543,2397,2026-01-29 09:26:27.000,Blue,Diamond,54,53,9,10,3,3,3,0,1,0,1,1,-1222,0
EUN1_3900529355,1439,2026-01-29 20:30:43.000,Blue,Unranked,30,16,0,7,3,0,3,0,1,0,0,0,8446,239
EUN1_3900645586,1681,2026-01-29 23:01:32.000,Red,Unranked,26,39,4,3,2,2,2,1,1,0,0,0,5317,181
EUW1_7706471283,1604,2026-01-29 00:05:36.000,Red,Platinum,26,37,9,2,0,2,0,3,0,1,0,1,8557,104
EUW1_7706476143,1475,2026-01-29 00:08:58.000,Blue,Master,22,15,2,8,3,0,2,1,1,0,1,0,10719,0
EUW1_7706478523,1429,2026-01-29 00:05:37.000,Blue,Emerald,26,10,2,4,1,1,2,1,1,0,0,0,9418,229
EUW1_7706478553,2640,2026-01-29 00:06:17.000,Blue,Master,39,33,8,8,4,2,3,0,1,0,2,1,2749,240
EUW1_7706478571,1619,2026-01-29 00:06:55.000,Blue,Master,41,15,2,8,2,1,3,0,1,0,1,0,14457,119
EUW1_7706482314,1636,2026-01-29 00:15:56.000,Red,Master,18,31,9,2,0,4,0,3,0,1,0,1,11331,136
EUW1_7706482923,1722,2026-01-29 00:12:55.000,Blue,Master,37,23,1,8,3,1,0,3,1,0,0,1,6503,222
EUW1_7706484482,1641,2026-01-29 00:11:55.000,Blue,Diamond,18,27,6,2,2,2,0,3,0,1,0,1,-5431,141
EUW1_7706485532,2009,2026-01-29 00:12:07.000,Red,Master,23,24,5,3,4,1,3,0,0,0,0,1,653,209
EUW1_7706485955,1511,2026-01-29 00:16:54.000,Blue,Master,42,21,3,9,3,0,0,3,1,0,0,0,7309,11
EUW1_7706488932,1211,2026-01-29 00:20:17.000,Blue,Diamond,39,10,0,11,3,0,0,3,1,0,0,0,19852,11
EUW1_7706489087,1953,2026-01-29 00:22:20.000,Red,Master,24,30,7,6,0,4,3,0,1,0,0,1,6314,153
EUW1_7706489294,1594,2026-01-29 00:24:56.000,Blue,Master,32,28,2,5,2,1,3,0,1,0,1,0,7360,94
EUW1_7706490088,1806,2026-01-29 00:23:28.000,Red,Diamond,22,43,10,2,0,4,0,3,0,1,0,2,10326,6
EUW1_7706491468,1750,2026-01-29 00:17:04.000,Red,Master,30,46,10,2,0,4,2,1,0,1,0,1,6698,0
EUW1_7706491717,1948,2026-01-29 00:20:20.000,Red,Master,16,25,7,1,1,3,3,0,0,1,0,2,7963,148
EUW1_7706491801,2540,2026-01-29 00:20:16.000,Red,Unranked,41,41,7,10,2,4,2,1,1,0,3,1,-680,140
EUW1_7706492194,1716,2026-01-29 00:26:35.000,Red,Platinum,21,27,4,3,0,4,0,3,0,0,0,0,3127,216
EUW1_7706492568,1967,2026-01-29 00:20:34.000,Red,Challenger,19,40,7,8,1,4,3,0,0,1,0,2,2205,167
EUW1_7706493329,1844,2026-01-29 00:29:31.000,Blue,Master,28,22,4,7,4,1,3,0,1,0,2,0,11670,44
EUW1_7706494065,1889,2026-01-29 00:26:26.000,Blue,Platinum,30,21,4,8,3,2,1,2,0,1,1,0,5935,89
